,price,rating,brand,ram,ssd_storage,color,processor
208,194990.0,4.8,Apple,24,1024,Blue,Unknown
209,43490.0,3.0,Hp,8,512,Silver,Amd
210,200490.0,4.7,Apple,16,1024,Silver,Unknown
211,73990.0,4.8,Apple,8,256,Indigo,Unknown
212,94990.0,2.0,Lenovo,16,512,Gray,Intel
213,182990.0,3.6,Hp,8,1024,Black,Intel
214,165000.0,4.3,Lenovo,8,1024,Gray,Intel
215,66990.0,4.1,Asus,16,512,Blue,Intel
216,78100.0,4.5,Lenovo,16,512,Gray,Intel
217,93990.0,4.0,Hp,16,512,Silver,Intel
218,60650.0,4.0,Asus,16,512,Black,Amd
219,59990.0,4.2,Acer,16,512,Gray,Amd
220,110990.0,,Hp,16,512,Silver,Intel
221,87900.0,4.0,Acer,6,512,Gray,Intel
222,69990.0,3.2,Hp,16,512,Silver,Snapdragon
223,342490.0,4.6,Apple,24,2048,Silver,Unknown
224,194990.0,4.8,Apple,24,1024,Unknown,Unknown
225,162990.0,3.4,Microsoft,16,512,Unknown,Snapdragon
226,61500.0,3.2,Hp,16,512,Silver,Intel
227,73990.0,4.7,Apple,8,256,Silver,Unknown
228,73990.0,4.8,Apple,8,256,Unknown,Unknown
229,119990.0,5.0,Asus,4,512,Black,Amd
230,69900.0,4.0,Hp,16,512,Gray,Intel
231,342490.0,4.5,Apple,24,1024,Silver,Unknown
232,200490.0,4.7,Apple,16,1024,Silver,Unknown
233,26000.0,,Unknown,8,256,Unknown,Unknown
234,55100.0,3.8,Hp,8,512,Silver,Intel
235,64390.0,3.8,Acer,16,512,Silver,Intel
236,68490.0,3.9,Lenovo,16,512,Gray,Amd
237,48999.0,2.9,Lenovo,8,512,Silver,Unknown
238,62500.0,1.0,Hp,16,512,Silver,Intel
239,58990.0,3.0,Asus,8,512,Silver,Intel
240,71990.0,4.1,Asus,16,512,Blue,Amd
241,255990.0,,Hp,16,1024,Unknown,Intel
242,164990.0,3.0,Hp,16,512,Silver,Intel
243,29000.0,,Unknown,8,256,Unknown,Unknown
244,170999.0,5.0,New,16,1024,Unknown,Snapdragon
245,58700.0,,Lenovo,8,512,Gray,Intel
246,26000.0,,Unknown,8,256,Unknown,Unknown
247,69990.0,3.2,Hp,16,512,Silver,Snapdragon
248,342490.0,4.6,Apple,24,2048,Silver,Unknown
249,194990.0,4.8,Apple,24,1024,Unknown,Unknown
250,164990.0,3.0,Hp,16,512,Silver,Intel
251,53999.0,3.7,Acer,16,512,Black,Amd
252,73990.0,4.7,Apple,8,256,Silver,Unknown
253,342490.0,4.5,Apple,24,1024,Silver,Unknown
254,54891.0,3.8,Dell,16,512,Blue,Intel
255,72365.0,4.0,Lenovo,16,512,Gray,Unknown
256,200490.0,4.7,Apple,16,1024,Silver,Unknown
257,64390.0,3.8,Acer,16,512,Silver,Intel
258,185490.0,3.5,Lenovo,8,1024,Black,Amd
259,58990.0,3.0,Asus,8,512,Silver,Intel
260,83490.0,4.8,Apple,8,512,Unknown,Unknown
261,84990.0,2.8,Lenovo,16,512,Gray,Intel
262,69990.0,4.4,Samsung,16,512,Silver,Intel
263,159990.0,3.6,Msi,16,512,Black,Intel
264,68480.0,3.8,Hp,16,512,Silver,Intel
265,58700.0,,Lenovo,8,512,Gray,Intel
266,57880.0,4.0,Hp,16,512,Silver,Amd
267,156555.0,4.2,Alienware,8,1024,Indigo,Intel
268,141500.0,4.4,Lenovo,32,1024,Gray,Intel
269,51990.0,3.8,Msi,16,512,Black,Intel
270,68390.0,3.6,Hp,16,512,Silver,Intel
271,175000.0,3.9,Lenovo,16,1024,Gray,Intel
272,342490.0,4.6,Apple,24,2048,Silver,Unknown
273,69990.0,3.2,Hp,16,512,Silver,Snapdragon
274,194990.0,4.8,Apple,24,1024,Unknown,Unknown
275,164990.0,3.0,Hp,16,512,Silver,Intel
276,59990.0,4.2,Acer,16,512,Gray,Amd
277,73990.0,4.7,Apple,8,256,Silver,Unknown
278,342490.0,4.5,Apple,24,1024,Silver,Unknown
279,114990.0,4.3,Hp,16,1024,Blue,Snapdragon
280,141500.0,4.4,Lenovo,32,1024,Gray,Intel
281,200490.0,4.7,Apple,16,1024,Silver,Unknown
282,83490.0,4.8,Apple,8,512,Unknown,Unknown
283,59950.0,5.0,Lenovo,8,512,Gray,Intel
284,46590.0,3.9,Acer,16,512,Gray,Amd
285,54680.0,4.2,Lenovo,8,512,Gray,Intel
286,219990.0,4.8,Lenovo,16,1024,Gray,Intel
287,52990.0,4.3,Acer,16,512,Gray,Intel
288,245000.0,,Lenovo,32,1024,Black,Intel
289,47999.0,,Hp,16,512,Silver,Amd
290,119990.0,5.0,Asus,4,512,Black,Amd
291,148000.0,4.1,Hp,8,1024,Silver,Intel
292,49560.0,3.2,Lenovo,16,512,Gray,Amd
293,,3.6,Hp,16,512,Silver,Intel
294,105540.0,3.4,Dell,6,512,Gray,Intel
295,342490.0,4.6,Apple,24,2048,Silver,Unknown
296,194990.0,4.8,Apple,24,1024,Unknown,Unknown
297,75990.0,3.6,Hp,16,512,Silver,Intel
298,,3.6,Hp,16,512,Silver,Intel
299,174990.0,3.9,Msi,16,512,Black,Intel
300,69990.0,3.2,Hp,16,512,Silver,Snapdragon
301,73990.0,4.7,Apple,8,256,Silver,Unknown
302,55990.0,4.3,Asus,8,512,Silver,Intel
303,54990.0,5.0,Asus,8,512,Silver,Amd
304,342490.0,4.5,Apple,24,1024,Silver,Unknown
305,200490.0,4.7,Apple,16,1024,Silver,Unknown
306,76890.0,3.0,Hp,24,512,Silver,Intel
307,48990.0,5.0,Acer,8,512,Unknown,Amd
308,83490.0,4.8,Apple,8,512,Unknown,Unknown
309,162990.0,3.4,Microsoft,16,512,Unknown,Snapdragon
310,63425.0,3.5,Dell,16,512,Blue,Intel
311,66949.0,3.2,Hp,16,512,Silver,Amd
312,79990.0,2.9,Msi,16,512,Gray,Amd
313,74990.0,4.7,Acer,16,512,Silver,Intel
314,58700.0,,Lenovo,8,512,Gray,Intel
315,85000.0,3.7,Hp,16,512,Silver,Intel
316,59990.0,3.9,Acer,16,512,Silver,Amd
317,58990.0,5.0,Hp,16,512,Silver,Amd
318,209780.0,5.0,Asus,32,1024,Gray,Amd
319,342490.0,4.6,Apple,24,2048,Silver,Unknown
320,194990.0,4.8,Apple,24,1024,Unknown,Unknown
321,73990.0,4.7,Apple,8,256,Silver,Unknown
322,79990.0,,Asus,16,512,Silver,Intel
323,54500.0,4.2,Hp,8,512,Gray,Intel
324,75990.0,3.6,Hp,16,512,Silver,Intel
325,342490.0,4.5,Apple,24,1024,Silver,Unknown
326,66999.0,4.2,Lenovo,16,512,Gray,Amd
327,69990.0,2.7,Hp,16,512,Silver,Intel
328,200490.0,4.7,Apple,16,1024,Silver,Unknown
329,83490.0,4.8,Apple,8,512,Unknown,Unknown
330,78000.0,,Hp,16,1024,Silver,Amd
331,58990.0,5.0,Asus,8,512,Black,Amd
332,69990.0,3.2,Hp,16,512,Silver,Snapdragon
333,69990.0,4.0,Hp,16,512,Silver,Amd
334,62850.0,4.0,Asus,16,512,Blue,Intel
335,86990.0,4.0,Lenovo,16,1024,Gray,Intel
336,158990.0,3.6,Lenovo,8,1024,Gray,Intel
337,85024.0,4.0,Hp,16,512,Silver,Intel
338,67990.0,3.9,Lenovo,16,512,Gray,Intel
339,159990.0,,Lenovo,32,1024,Unknown,Intel
340,72600.0,4.2,Lenovo,16,512,Gray,Intel
341,89900.0,3.4,Hp,16,512,Silver,Intel
342,54800.0,3.8,Hp,8,512,Silver,Intel
343,342490.0,4.6,Apple,24,2048,Silver,Unknown
344,194990.0,4.8,Apple,24,1024,Unknown,Unknown
345,73990.0,4.7,Apple,8,256,Silver,Unknown
346,54800.0,3.8,Hp,8,512,Silver,Intel
347,134990.0,5.0,Microsoft,16,256,Unknown,Snapdragon
348,69990.0,3.2,Hp,16,512,Silver,Snapdragon
349,75990.0,3.6,Hp,16,512,Silver,Intel
350,124790.0,3.7,Lenovo,16,512,Gray,Intel
351,72900.0,3.9,Hp,16,512,Silver,Amd
352,85990.0,3.3,Hp,24,1024,Silver,Intel
353,342490.0,4.5,Apple,24,1024,Silver,Unknown
354,72900.0,4.0,Lenovo,16,512,Gray,Intel
355,60990.0,,Asus,16,512,Silver,Amd
356,200490.0,4.7,Apple,16,1024,Silver,Unknown
357,83490.0,4.8,Apple,8,512,Unknown,Unknown
358,99990.0,,Lenovo,16,512,Black,Amd
359,,4.2,Lenovo,8,1024,Gray,Intel
360,94900.0,,Hp,4,512,Blue,Intel
361,86990.0,4.5,Hp,16,512,Unknown,Intel
362,103990.0,5.0,Dell,16,512,Silver,Intel
363,52680.0,3.7,Dell,8,512,Blue,Intel
364,249990.0,,Hp,32,1024,Silver,Intel
365,82990.0,3.9,Lenovo,16,1024,Gray,Unknown
366,193990.0,,Lenovo,32,1024,Gray,Intel
367,215990.0,3.6,Lenovo,8,1024,Gray,Intel
368,342490.0,4.6,Apple,24,2048,Silver,Unknown
369,194990.0,4.8,Apple,24,1024,Unknown,Unknown
370,73990.0,4.7,Apple,8,256,Silver,Unknown
371,193990.0,,Lenovo,32,1024,Gray,Intel
372,94990.0,4.0,Hp,16,512,Blue,Intel
373,342490.0,4.5,Apple,24,1024,Silver,Unknown
374,200490.0,4.7,Apple,16,1024,Silver,Unknown
375,114990.0,,Hp,6,512,Silver,Unknown
376,445000.0,3.2,Msi,64,512,Black,Intel
377,83490.0,4.8,Apple,8,512,Unknown,Unknown
378,69990.0,3.2,Hp,16,512,Silver,Snapdragon
379,174500.0,4.9,Lenovo,8,1024,Gray,Amd
380,118990.0,,Lenovo,16,512,Gray,Intel
381,431990.0,2.6,Asus,16,2048,Black,Amd
382,94990.0,5.0,Asus,16,512,Blue,Amd
383,199990.0,4.5,Lenovo,32,1024,Unknown,Intel
384,999990.0,1.0,Alienware,16,2048,Unknown,Intel
385,60999.0,3.0,Hp,16,512,Silver,Intel
386,46590.0,3.9,Acer,16,512,Gray,Amd
387,31900.0,,Unknown,8,256,Unknown,Unknown
388,38700.0,2.8,Acer,8,512,Silver,Amd
389,58990.0,,Asus,8,512,Blue,Intel
390,58990.0,3.0,Asus,8,512,Silver,Intel
391,342490.0,4.6,Apple,24,2048,Silver,Unknown
392,194990.0,4.8,Apple,24,1024,Unknown,Unknown
393,73990.0,4.7,Apple,8,256,Silver,Unknown
394,88990.0,4.0,Hp,16,512,Silver,Intel
395,186990.0,4.2,New,16,1024,Unknown,Snapdragon
396,222990.0,5.0,Apple,24,1024,Unknown,Unknown
397,73990.0,4.8,Apple,8,256,Unknown,Unknown
398,105000.0,5.0,Msi,16,512,Gray,Intel
399,19990.0,5.0,Acer,4,512,Black,Mediatek
400,69990.0,3.2,Hp,16,512,Silver,Snapdragon
401,342490.0,4.5,Apple,24,1024,Silver,Unknown
402,61490.0,5.0,Hp,16,512,Silver,Intel
403,48990.0,4.0,Lenovo,8,512,Silver,Amd
404,273490.0,5.0,Lenovo,8,1024,White,Intel
405,91990.0,5.0,Hp,16,512,Silver,Intel
406,349990.0,,Dell,64,2048,Unknown,Intel
407,50999.0,3.4,Acer,8,512,Black,Amd
408,98700.0,,Hp,6,512,Blue,Amd
409,68490.0,3.9,Lenovo,16,512,Gray,Amd
410,79932.0,,Hp,16,512,Unknown,Intel
411,44604.0,1.0,Hp,8,256,Unknown,Amd
412,58600.0,4.4,Lenovo,16,512,Gray,Intel
